Bike_Type,Age,Gender,Occupation,Distance_Travelled(km),Weather,Day_of_Week,Time_of_Day,Temperature(C),Humidity(%),Is_Holiday,Is_Weekend,Purpose_of_Ride,Satisfaction_Level(of 5),Helmet_Used,Traffic_Intensity(of 10),Road_Condition,User_Experience
bmx,59,Female,Retired,0.89,rainy,Monday,afternoon,16.2,70,TRUE,FALSE,Leisure,3,TRUE,10,Poor,Positive
hill,22,Other,Unemployed,2.24,cloudy,Tuesday,evening,12,36,TRUE,TRUE,Exercise,2,FALSE,4,Good,Neutral
hill,25,Female,Retired,4.21,rainy,Saturday,morning,10.7,40,FALSE,TRUE,Exercise,2,TRUE,5,Fair,Neutral
normal,49,Female,Unemployed,2.52,sunny,Thursday,afternoon,24.8,53,FALSE,FALSE,Leisure,1,TRUE,5,Good,Neutral
hill,38,Female,Professional,4.51,sunny,Tuesday,morning,27.2,81,TRUE,TRUE,Leisure,2,FALSE,6,Good,Positive
bmx,68,Other,Professional,2.98,rainy,Friday,morning,34.9,54,TRUE,FALSE,Commute,4,TRUE,3,Fair,Neutral
hill,29,Other,Unemployed,4.1,cloudy,Friday,evening,13.5,58,FALSE,TRUE,Commute,3,TRUE,10,Good,Positive
hill,20,Female,Student,0.92,cloudy,Friday,night,17.5,88,TRUE,FALSE,Errands,5,FALSE,1,Fair,Neutral
bmx,62,Male,Student,4.5,sunny,Thursday,afternoon,12.2,30,TRUE,FALSE,Leisure,2,FALSE,6,Poor,Neutral
hill,42,Other,Student,1.85,sunny,Sunday,night,33.6,63,FALSE,TRUE,Exercise,4,FALSE,4,Fair,Positive
bmx,26,Male,Student,2.31,cloudy,Wednesday,morning,23.5,43,TRUE,TRUE,Errands,1,FALSE,10,Poor,Neutral
hill,46,Female,Retired,2.97,cloudy,Monday,afternoon,10.8,90,TRUE,TRUE,Errands,5,TRUE,6,Poor,Negative
normal,44,Female,Retired,2.42,sunny,Sunday,evening,20.6,55,FALSE,FALSE,Errands,3,FALSE,9,Good,Negative
hill,36,Other,Student,4.4,rainy,Sunday,night,19.2,47,TRUE,FALSE,Exercise,4,TRUE,8,Poor,Neutral
normal,52,Other,Professional,4.31,cloudy,Wednesday,morning,25.9,74,TRUE,TRUE,Leisure,4,TRUE,4,Good,Positive
bmx,31,Male,Unemployed,2.57,sunny,Wednesday,morning,17.6,32,FALSE,TRUE,Errands,1,FALSE,7,Poor,Negative
bmx,26,Other,Professional,3.26,sunny,Wednesday,morning,18.8,63,TRUE,FALSE,Commute,2,FALSE,4,Poor,Positive
bmx,18,Female,Retired,2.05,sunny,Saturday,afternoon,26.4,36,TRUE,TRUE,Errands,2,TRUE,7,Fair,Neutral
hill,52,Female,Unemployed,0.99,cloudy,Saturday,afternoon,10.5,38,TRUE,FALSE,Commute,1,TRUE,8,Poor,Negative
hill,54,Other,Student,3.48,cloudy,Thursday,evening,15.1,63,FALSE,TRUE,Errands,4,TRUE,5,Poor,Neutral
bmx,57,Female,Retired,3.65,sunny,Thursday,afternoon,34.2,56,FALSE,FALSE,Commute,2,TRUE,2,Fair,Neutral
hill,31,Male,Retired,1.35,rainy,Saturday,evening,19.9,73,TRUE,TRUE,Leisure,1,TRUE,1,Good,Positive
normal,58,Other,Student,0.3,rainy,Sunday,night,18.2,79,TRUE,TRUE,Exercise,2,FALSE,10,Fair,Negative
hill,22,Female,Unemployed,3.13,rainy,Sunday,night,32.4,32,FALSE,FALSE,Leisure,4,TRUE,6,Good,Neutral
normal,22,Other,Unemployed,4.22,cloudy,Monday,afternoon,13,30,FALSE,TRUE,Errands,1,FALSE,4,Good,Positive
normal,69,Female,Unemployed,2.89,cloudy,Thursday,night,15.9,79,TRUE,FALSE,Leisure,3,FALSE,7,Fair,Positive
normal,37,Male,Student,2.14,sunny,Wednesday,evening,31.8,58,TRUE,FALSE,Leisure,3,TRUE,7,Fair,Neutral
hill,18,Male,Professional,1.77,sunny,Saturday,afternoon,14.8,87,TRUE,FALSE,Leisure,5,TRUE,10,Fair,Negative
normal,61,Male,Professional,1.32,sunny,Tuesday,evening,17.5,84,FALSE,FALSE,Commute,1,TRUE,1,Fair,Positive
hill,47,Female,Student,1.3,sunny,Wednesday,afternoon,33.7,65,TRUE,FALSE,Exercise,3,FALSE,9,Fair,Positive
hill,29,Other,Professional,4.3,cloudy,Friday,night,20.2,61,TRUE,FALSE,Commute,4,TRUE,8,Good,Positive
normal,43,Other,Retired,4.21,rainy,Tuesday,night,25.2,38,TRUE,FALSE,Leisure,4,TRUE,1,Good,Negative
bmx,27,Other,Unemployed,1.88,cloudy,Friday,evening,14,32,TRUE,TRUE,Leisure,1,FALSE,9,Fair,Neutral
hill,69,Other,Student,3.39,cloudy,Friday,night,30.4,40,FALSE,FALSE,Exercise,2,TRUE,4,Poor,Neutral
bmx,58,Male,Retired,3.84,rainy,Wednesday,night,10.9,73,FALSE,FALSE,Exercise,1,TRUE,10,Good,Neutral
normal,66,Female,Professional,2.75,cloudy,Monday,evening,22,31,TRUE,FALSE,Commute,1,FALSE,10,Good,Neutral
normal,48,Male,Unemployed,1.16,sunny,Friday,evening,30.2,68,FALSE,FALSE,Leisure,3,TRUE,1,Poor,Neutral
normal,42,Male,Unemployed,0.47,rainy,Monday,evening,19.9,41,FALSE,TRUE,Commute,1,TRUE,2,Fair,Negative
bmx,67,Female,Unemployed,1.53,cloudy,Wednesday,afternoon,27.9,79,FALSE,FALSE,Commute,3,TRUE,9,Poor,Negative
bmx,25,Other,Unemployed,2.86,sunny,Sunday,night,27.4,34,FALSE,TRUE,Exercise,5,FALSE,4,Good,Neutral
normal,55,Female,Unemployed,1.18,sunny,Sunday,night,27.6,58,FALSE,FALSE,Errands,4,TRUE,10,Poor,Neutral
hill,51,Other,Unemployed,0.08,cloudy,Sunday,afternoon,20.2,66,FALSE,TRUE,Exercise,5,FALSE,3,Poor,Positive
hill,48,Other,Professional,4.49,cloudy,Sunday,night,12.3,33,FALSE,FALSE,Errands,5,TRUE,5,Good,Neutral
bmx,45,Other,Unemployed,3.94,sunny,Saturday,evening,15.8,66,TRUE,FALSE,Commute,1,FALSE,4,Fair,Neutral
hill,54,Male,Student,1.89,rainy,Wednesday,afternoon,12.7,89,TRUE,FALSE,Exercise,5,TRUE,6,Good,Positive
bmx,58,Female,Retired,3.05,rainy,Sunday,afternoon,24.3,67,TRUE,TRUE,Leisure,3,FALSE,5,Good,Negative
hill,38,Male,Professional,2.22,sunny,Monday,morning,19.6,79,TRUE,FALSE,Leisure,5,TRUE,2,Good,Neutral
hill,29,Other,Retired,4.72,rainy,Sunday,evening,21.2,35,FALSE,FALSE,Errands,2,TRUE,2,Fair,Positive
normal,21,Male,Student,1.18,rainy,Thursday,night,26.4,72,TRUE,TRUE,Exercise,3,FALSE,2,Poor,Neutral
normal,25,Male,Student,1.58,rainy,Friday,night,29.8,59,FALSE,TRUE,Leisure,2,FALSE,4,Fair,Negative
bmx,35,Other,Unemployed,2.75,cloudy,Saturday,night,21.7,48,TRUE,TRUE,Errands,2,FALSE,9,Good,Positive
normal,46,Female,Student,2.05,sunny,Monday,evening,10.4,39,TRUE,TRUE,Leisure,2,FALSE,6,Good,Positive
normal,49,Male,Student,4.87,sunny,Saturday,evening,18.2,82,TRUE,FALSE,Commute,2,TRUE,9,Poor,Neutral
hill,24,Female,Retired,1.7,sunny,Friday,morning,26.7,77,FALSE,TRUE,Leisure,2,FALSE,1,Poor,Negative
hill,59,Male,Student,1.08,cloudy,Tuesday,afternoon,32.6,87,FALSE,FALSE,Exercise,4,TRUE,7,Fair,Neutral
normal,67,Female,Retired,3.32,rainy,Tuesday,morning,32,32,TRUE,TRUE,Leisure,3,TRUE,5,Fair,Negative
hill,56,Female,Retired,3.95,sunny,Wednesday,night,13.3,65,TRUE,TRUE,Errands,3,TRUE,6,Good,Negative
hill,30,Female,Unemployed,2.33,rainy,Thursday,night,20.5,59,FALSE,FALSE,Exercise,5,FALSE,9,Good,Positive
hill,51,Other,Student,4.14,sunny,Thursday,morning,19.6,33,FALSE,FALSE,Commute,3,TRUE,5,Fair,Positive
bmx,40,Other,Student,3.84,cloudy,Friday,evening,33.1,71,TRUE,TRUE,Commute,5,TRUE,2,Fair,Neutral
normal,49,Female,Retired,1.93,rainy,Saturday,evening,12.9,86,TRUE,FALSE,Leisure,5,TRUE,2,Poor,Neutral
normal,47,Female,Professional,4.1,sunny,Sunday,morning,25.2,47,FALSE,TRUE,Commute,2,FALSE,5,Fair,Negative
normal,27,Female,Unemployed,4.32,rainy,Thursday,evening,17.6,30,FALSE,FALSE,Leisure,4,TRUE,8,Good,Positive
hill,24,Male,Student,1.83,sunny,Sunday,night,13.1,31,TRUE,FALSE,Leisure,4,TRUE,5,Good,Positive
normal,21,Female,Unemployed,0.85,cloudy,Thursday,morning,13.1,54,FALSE,TRUE,Errands,1,TRUE,1,Good,Neutral
bmx,60,Female,Retired,1.87,sunny,Tuesday,morning,25.4,79,TRUE,FALSE,Commute,3,TRUE,5,Poor,Positive
bmx,40,Female,Student,3.33,cloudy,Thursday,evening,27.8,82,FALSE,TRUE,Exercise,3,TRUE,6,Poor,Neutral
normal,22,Other,Unemployed,1.61,rainy,Sunday,night,20.5,41,FALSE,FALSE,Leisure,2,TRUE,3,Good,Positive
normal,32,Other,Professional,3.44,rainy,Wednesday,morning,30.9,76,TRUE,TRUE,Commute,5,TRUE,4,Poor,Neutral
normal,28,Male,Retired,3.84,rainy,Friday,afternoon,21.6,56,FALSE,TRUE,Errands,3,TRUE,3,Fair,Positive
bmx,69,Other,Professional,2.1,rainy,Thursday,night,30.6,61,TRUE,FALSE,Commute,5,FALSE,5,Good,Positive
normal,44,Other,Professional,2.61,cloudy,Sunday,afternoon,25.7,31,FALSE,TRUE,Leisure,3,TRUE,10,Good,Negative
normal,58,Female,Professional,3.47,rainy,Wednesday,afternoon,33,70,TRUE,TRUE,Exercise,2,FALSE,2,Good,Negative
hill,52,Female,Professional,1.42,cloudy,Friday,afternoon,31.7,84,TRUE,TRUE,Commute,5,TRUE,2,Good,Neutral
normal,51,Female,Unemployed,3.08,rainy,Wednesday,morning,27.1,65,FALSE,TRUE,Errands,5,FALSE,5,Good,Neutral
hill,19,Other,Unemployed,1.83,cloudy,Tuesday,afternoon,34.8,76,TRUE,FALSE,Exercise,5,TRUE,2,Poor,Neutral
normal,70,Other,Student,3.66,cloudy,Saturday,morning,17.8,79,TRUE,TRUE,Errands,4,FALSE,4,Poor,Neutral
bmx,34,Other,Professional,4.4,sunny,Sunday,evening,14.3,82,TRUE,TRUE,Errands,3,TRUE,2,Poor,Negative
bmx,20,Female,Unemployed,1.55,sunny,Thursday,afternoon,18.9,76,FALSE,TRUE,Leisure,5,TRUE,5,Fair,Negative
normal,51,Other,Retired,2.32,cloudy,Tuesday,afternoon,24.4,78,TRUE,FALSE,Exercise,4,FALSE,8,Good,Neutral
hill,37,Male,Professional,4.85,rainy,Sunday,evening,20.4,58,FALSE,TRUE,Commute,3,FALSE,2,Good,Neutral
normal,44,Male,Professional,4.39,rainy,Saturday,morning,32.1,67,TRUE,TRUE,Leisure,2,FALSE,4,Good,Neutral
bmx,67,Male,Student,3.71,rainy,Saturday,morning,34.8,31,FALSE,FALSE,Commute,1,FALSE,9,Good,Positive
normal,53,Other,Unemployed,2.6,cloudy,Sunday,evening,34.9,89,FALSE,FALSE,Exercise,1,FALSE,9,Poor,Positive
bmx,58,Female,Retired,0.16,rainy,Thursday,night,12.7,47,TRUE,TRUE,Leisure,5,FALSE,8,Fair,Neutral
bmx,59,Female,Student,0.2,rainy,Thursday,afternoon,32.5,88,TRUE,FALSE,Errands,3,TRUE,2,Good,Neutral
hill,39,Other,Professional,4.61,cloudy,Friday,afternoon,14.6,38,FALSE,TRUE,Errands,1,FALSE,4,Fair,Positive
bmx,37,Female,Student,3.45,sunny,Tuesday,morning,15.5,70,FALSE,TRUE,Exercise,4,FALSE,2,Good,Neutral
bmx,63,Other,Unemployed,0.1,rainy,Monday,evening,16,57,FALSE,FALSE,Errands,4,FALSE,5,Good,Negative
bmx,30,Other,Professional,4.1,sunny,Thursday,morning,11.9,68,FALSE,FALSE,Leisure,5,FALSE,7,Good,Positive
bmx,40,Other,Student,3.34,sunny,Tuesday,evening,16.5,48,TRUE,TRUE,Leisure,3,TRUE,6,Fair,Neutral
hill,64,Female,Unemployed,3.13,rainy,Friday,afternoon,22,89,FALSE,FALSE,Commute,1,TRUE,1,Poor,Neutral
hill,56,Female,Professional,4.59,rainy,Monday,afternoon,17.2,68,FALSE,TRUE,Errands,4,TRUE,7,Poor,Positive
bmx,67,Other,Student,0.07,rainy,Thursday,evening,33.5,51,TRUE,FALSE,Leisure,5,TRUE,4,Good,Negative
hill,19,Male,Retired,2.92,rainy,Tuesday,afternoon,15,50,FALSE,FALSE,Commute,2,FALSE,2,Fair,Negative
bmx,27,Other,Unemployed,0.93,cloudy,Sunday,afternoon,21.3,86,FALSE,TRUE,Exercise,4,TRUE,6,Good,Positive
normal,28,Female,Professional,4.59,rainy,Monday,morning,20.1,75,TRUE,FALSE,Leisure,1,FALSE,10,Fair,Negative
bmx,45,Female,Retired,0.46,cloudy,Tuesday,evening,25,83,TRUE,TRUE,Exercise,5,FALSE,5,Fair,Neutral
bmx,48,Other,Unemployed,0.05,rainy,Friday,night,30.5,76,FALSE,TRUE,Leisure,2,TRUE,10,Fair,Negative
hill,61,Other,Professional,2.88,sunny,Monday,evening,14.2,50,TRUE,TRUE,Errands,1,FALSE,5,Fair,Positive
normal,19,Other,Unemployed,0.79,sunny,Thursday,morning,28.2,80,TRUE,TRUE,Exercise,4,FALSE,9,Good,Positive
hill,45,Other,Professional,3.95,sunny,Tuesday,night,28.8,54,TRUE,FALSE,Leisure,3,FALSE,3,Poor,Positive
hill,62,Other,Professional,4.83,sunny,Sunday,night,14.2,89,FALSE,TRUE,Leisure,4,TRUE,1,Good,Negative
hill,48,Female,Retired,1.19,cloudy,Wednesday,morning,21.3,38,TRUE,FALSE,Leisure,5,TRUE,5,Fair,Neutral
hill,50,Female,Retired,3.15,sunny,Friday,evening,12.6,48,FALSE,TRUE,Errands,5,FALSE,6,Poor,Positive
bmx,21,Female,Student,4.09,sunny,Saturday,afternoon,25.4,48,TRUE,FALSE,Commute,1,TRUE,6,Poor,Neutral
hill,58,Male,Student,2.88,sunny,Wednesday,evening,17.9,63,FALSE,FALSE,Leisure,2,FALSE,1,Poor,Negative
normal,58,Female,Professional,1.75,rainy,Sunday,morning,25.1,36,TRUE,TRUE,Errands,2,FALSE,4,Good,Neutral
bmx,19,Male,Unemployed,2.9,cloudy,Monday,morning,32.8,58,FALSE,TRUE,Exercise,1,FALSE,2,Fair,Negative
bmx,21,Other,Professional,3.05,sunny,Thursday,night,24.3,61,FALSE,TRUE,Exercise,4,FALSE,5,Good,Neutral
hill,20,Male,Retired,1,sunny,Friday,morning,25.5,58,FALSE,TRUE,Errands,4,TRUE,1,Fair,Positive
bmx,27,Male,Unemployed,4.47,cloudy,Thursday,afternoon,12.9,49,FALSE,FALSE,Errands,2,FALSE,2,Poor,Neutral
bmx,33,Female,Retired,0.87,cloudy,Saturday,night,26.7,66,TRUE,FALSE,Errands,2,TRUE,9,Fair,Neutral
normal,21,Other,Unemployed,1.89,cloudy,Wednesday,evening,20.5,69,TRUE,FALSE,Errands,5,FALSE,1,Fair,Negative
hill,20,Male,Unemployed,1.21,rainy,Friday,afternoon,27.9,56,FALSE,TRUE,Errands,3,FALSE,1,Poor,Neutral
hill,47,Female,Unemployed,0.72,rainy,Friday,night,10.9,53,FALSE,FALSE,Exercise,4,TRUE,5,Poor,Negative
normal,62,Other,Retired,2.93,sunny,Saturday,night,31.7,56,FALSE,TRUE,Errands,5,TRUE,6,Fair,Positive
normal,49,Other,Unemployed,4.12,cloudy,Friday,morning,25.1,32,FALSE,TRUE,Exercise,3,TRUE,1,Fair,Negative
bmx,63,Other,Retired,1.14,cloudy,Sunday,morning,33.2,81,FALSE,TRUE,Leisure,2,FALSE,9,Fair,Neutral
normal,28,Male,Professional,0.77,sunny,Monday,evening,11,56,FALSE,TRUE,Commute,2,FALSE,3,Fair,Positive
bmx,52,Female,Student,2.38,cloudy,Wednesday,night,14.4,72,TRUE,TRUE,Leisure,3,TRUE,8,Good,Positive
bmx,27,Other,Unemployed,0.02,sunny,Monday,morning,11,76,FALSE,TRUE,Leisure,4,FALSE,9,Poor,Negative
normal,30,Male,Unemployed,4.95,sunny,Thursday,evening,22.9,68,TRUE,TRUE,Errands,3,FALSE,5,Good,Negative
normal,31,Male,Student,3.37,sunny,Tuesday,evening,13.7,49,FALSE,FALSE,Leisure,5,TRUE,5,Poor,Neutral
bmx,47,Male,Unemployed,0.19,rainy,Tuesday,afternoon,17.9,60,TRUE,FALSE,Errands,5,TRUE,4,Good,Negative
normal,31,Other,Student,1.27,rainy,Monday,morning,11,53,FALSE,TRUE,Commute,5,TRUE,4,Fair,Positive
hill,68,Male,Retired,0.6,sunny,Tuesday,night,25.2,83,TRUE,TRUE,Leisure,2,TRUE,5,Good,Neutral
normal,53,Other,Student,4.16,sunny,Saturday,morning,12.8,87,FALSE,TRUE,Exercise,3,FALSE,2,Good,Positive
bmx,18,Other,Student,1.91,cloudy,Friday,afternoon,30.7,36,FALSE,FALSE,Errands,2,TRUE,6,Poor,Neutral
bmx,68,Male,Retired,4.99,cloudy,Saturday,morning,10.1,62,FALSE,TRUE,Leisure,2,FALSE,1,Good,Negative
bmx,42,Female,Unemployed,0.69,sunny,Sunday,evening,24.8,66,TRUE,FALSE,Commute,2,FALSE,1,Poor,Negative
normal,43,Female,Retired,2.34,rainy,Friday,morning,27.9,32,TRUE,TRUE,Commute,3,FALSE,7,Poor,Negative
normal,55,Other,Student,2.15,rainy,Friday,morning,29.8,30,FALSE,TRUE,Commute,1,FALSE,6,Poor,Neutral
hill,42,Female,Retired,0.33,sunny,Saturday,morning,15.8,39,TRUE,FALSE,Errands,5,FALSE,10,Good,Positive
hill,64,Female,Retired,0.9,rainy,Sunday,evening,30.6,88,TRUE,FALSE,Exercise,1,FALSE,6,Good,Positive
bmx,57,Other,Student,0.13,cloudy,Sunday,night,20.4,37,FALSE,TRUE,Commute,1,FALSE,8,Good,Neutral
normal,24,Female,Retired,1.13,cloudy,Saturday,evening,16.6,32,FALSE,FALSE,Commute,3,TRUE,10,Fair,Negative
hill,28,Female,Unemployed,4.26,rainy,Tuesday,evening,21.6,83,FALSE,TRUE,Errands,2,FALSE,1,Good,Neutral
normal,40,Other,Unemployed,2.48,rainy,Friday,evening,19.2,80,FALSE,FALSE,Errands,3,TRUE,9,Good,Neutral
bmx,64,Female,Student,2.17,rainy,Wednesday,night,21.8,84,TRUE,TRUE,Exercise,4,FALSE,6,Good,Neutral
bmx,40,Male,Unemployed,2.2,rainy,Sunday,night,26.5,88,FALSE,TRUE,Commute,3,TRUE,7,Poor,Negative
bmx,51,Other,Retired,0.12,sunny,Saturday,night,33,34,TRUE,TRUE,Errands,2,TRUE,5,Poor,Neutral
hill,55,Male,Professional,3.89,rainy,Friday,night,32.1,83,FALSE,TRUE,Commute,2,TRUE,8,Poor,Positive
bmx,21,Male,Student,1.55,sunny,Thursday,evening,19.8,49,FALSE,TRUE,Commute,4,TRUE,4,Fair,Neutral
bmx,20,Female,Professional,2.53,cloudy,Thursday,morning,33.3,71,FALSE,FALSE,Commute,2,FALSE,6,Fair,Neutral
normal,19,Male,Retired,3.31,sunny,Thursday,afternoon,23.4,40,FALSE,TRUE,Leisure,1,TRUE,7,Poor,Neutral
bmx,41,Male,Retired,1.96,cloudy,Tuesday,morning,11.6,42,FALSE,FALSE,Leisure,2,FALSE,10,Fair,Neutral
normal,56,Female,Professional,3.16,cloudy,Sunday,morning,29.2,67,FALSE,TRUE,Commute,1,TRUE,8,Poor,Neutral
hill,58,Male,Unemployed,2.52,cloudy,Saturday,evening,34.6,40,TRUE,FALSE,Leisure,5,TRUE,3,Poor,Neutral
hill,67,Other,Student,1.14,rainy,Tuesday,afternoon,23.9,44,FALSE,FALSE,Errands,2,TRUE,10,Fair,Positive
hill,57,Other,Professional,2.78,sunny,Tuesday,evening,32.9,75,TRUE,FALSE,Commute,3,TRUE,3,Good,Negative
normal,45,Other,Professional,1.6,rainy,Sunday,morning,29.8,59,TRUE,FALSE,Errands,1,FALSE,6,Fair,Negative
bmx,22,Male,Unemployed,1.22,sunny,Tuesday,evening,33.7,43,TRUE,TRUE,Exercise,3,TRUE,9,Good,Negative
bmx,42,Female,Retired,2.21,sunny,Sunday,morning,26.3,46,FALSE,TRUE,Leisure,5,FALSE,10,Fair,Negative
hill,40,Other,Retired,2.34,rainy,Friday,evening,19.9,75,TRUE,FALSE,Leisure,1,FALSE,1,Fair,Neutral
hill,59,Female,Unemployed,0.2,cloudy,Saturday,evening,18.2,67,FALSE,FALSE,Leisure,4,FALSE,7,Fair,Positive
bmx,26,Other,Professional,2.37,sunny,Wednesday,afternoon,32,87,TRUE,TRUE,Leisure,5,FALSE,8,Fair,Negative
bmx,32,Male,Retired,3.71,rainy,Monday,night,30,32,TRUE,FALSE,Commute,4,TRUE,2,Good,Positive
hill,19,Female,Student,2.6,cloudy,Thursday,night,25.6,41,FALSE,TRUE,Leisure,2,FALSE,4,Good,Positive
hill,36,Female,Unemployed,4.67,sunny,Wednesday,afternoon,13.3,70,FALSE,FALSE,Leisure,4,TRUE,8,Good,Negative
hill,19,Female,Retired,3.66,sunny,Sunday,morning,23.8,37,TRUE,FALSE,Commute,4,TRUE,6,Poor,Neutral
bmx,43,Male,Student,0.52,sunny,Thursday,evening,19.2,81,TRUE,TRUE,Commute,5,FALSE,4,Good,Neutral
bmx,35,Female,Retired,1.82,rainy,Friday,evening,28.8,89,FALSE,FALSE,Commute,1,FALSE,1,Good,Positive
bmx,49,Male,Unemployed,3.04,sunny,Tuesday,evening,12.6,72,TRUE,FALSE,Errands,2,FALSE,7,Fair,Negative
bmx,43,Other,Student,0.39,cloudy,Tuesday,morning,32.8,33,TRUE,FALSE,Leisure,2,FALSE,1,Poor,Negative
bmx,48,Other,Retired,1.73,sunny,Wednesday,afternoon,23.1,79,TRUE,TRUE,Commute,2,FALSE,6,Good,Neutral
bmx,26,Other,Professional,1.72,cloudy,Wednesday,afternoon,19.8,53,FALSE,FALSE,Commute,1,TRUE,1,Fair,Positive
bmx,41,Male,Unemployed,4.25,sunny,Tuesday,morning,12.2,57,TRUE,FALSE,Commute,2,TRUE,5,Fair,Negative
hill,35,Female,Student,3.13,rainy,Wednesday,evening,31.9,63,FALSE,FALSE,Exercise,3,TRUE,2,Fair,Positive
normal,23,Male,Retired,4.57,cloudy,Sunday,morning,16.8,79,TRUE,FALSE,Errands,4,TRUE,1,Fair,Positive
hill,57,Male,Retired,2.25,sunny,Sunday,evening,29.1,39,TRUE,FALSE,Commute,4,FALSE,6,Poor,Negative
hill,44,Male,Professional,4.92,rainy,Thursday,evening,25.2,39,FALSE,TRUE,Commute,4,FALSE,3,Fair,Positive
hill,50,Female,Professional,4.01,sunny,Sunday,morning,24.8,48,TRUE,FALSE,Errands,4,TRUE,6,Fair,Negative
hill,56,Male,Retired,0.09,rainy,Friday,morning,32.4,68,TRUE,TRUE,Leisure,1,TRUE,1,Fair,Positive
bmx,52,Male,Unemployed,2.33,cloudy,Tuesday,evening,29.2,69,TRUE,FALSE,Errands,3,FALSE,9,Poor,Positive
bmx,53,Male,Student,1.83,rainy,Wednesday,evening,24.9,55,FALSE,TRUE,Errands,4,TRUE,10,Fair,Negative
hill,21,Other,Unemployed,3.5,sunny,Monday,morning,30.3,74,TRUE,FALSE,Leisure,2,TRUE,5,Fair,Positive
normal,60,Female,Retired,2.95,cloudy,Sunday,night,26.8,75,FALSE,TRUE,Commute,4,FALSE,3,Poor,Negative
hill,24,Other,Professional,2.76,cloudy,Saturday,morning,25.9,81,TRUE,FALSE,Exercise,4,FALSE,3,Good,Negative
normal,66,Male,Unemployed,0.13,sunny,Tuesday,afternoon,22.8,33,TRUE,FALSE,Errands,3,FALSE,4,Poor,Negative
hill,52,Female,Professional,3.23,rainy,Friday,evening,34.6,74,TRUE,TRUE,Commute,3,TRUE,8,Poor,Positive
hill,65,Other,Retired,1.96,rainy,Friday,morning,29.5,62,FALSE,FALSE,Commute,1,FALSE,4,Poor,Positive
normal,40,Male,Professional,2.15,cloudy,Sunday,night,25.5,69,TRUE,FALSE,Errands,3,FALSE,1,Poor,Negative
bmx,50,Male,Student,4.24,sunny,Saturday,evening,33.2,43,TRUE,FALSE,Leisure,4,TRUE,8,Fair,Negative
bmx,30,Female,Professional,1.67,sunny,Friday,morning,14.1,83,FALSE,TRUE,Leisure,4,TRUE,6,Fair,Neutral
normal,20,Female,Retired,2.75,cloudy,Monday,afternoon,18,40,FALSE,TRUE,Commute,3,FALSE,1,Good,Positive
normal,70,Male,Retired,4.77,rainy,Wednesday,evening,22.4,48,TRUE,FALSE,Exercise,1,FALSE,9,Good,Neutral
normal,32,Other,Student,4.76,rainy,Saturday,afternoon,22.3,55,TRUE,TRUE,Errands,2,TRUE,4,Poor,Neutral
hill,56,Male,Professional,0.14,cloudy,Wednesday,afternoon,29.6,89,TRUE,FALSE,Exercise,3,TRUE,7,Fair,Neutral
bmx,37,Other,Student,3.38,sunny,Monday,morning,11.2,90,TRUE,FALSE,Leisure,5,TRUE,2,Good,Neutral
hill,42,Female,Retired,3.84,rainy,Monday,afternoon,22.6,71,TRUE,TRUE,Commute,2,FALSE,10,Poor,Positive
normal,50,Female,Unemployed,0.09,sunny,Sunday,night,20.5,41,TRUE,TRUE,Errands,2,FALSE,3,Good,Neutral
bmx,63,Male,Unemployed,0.08,rainy,Saturday,evening,34.4,66,TRUE,FALSE,Leisure,2,FALSE,4,Poor,Negative
hill,32,Other,Student,3.28,sunny,Friday,evening,30.2,87,FALSE,TRUE,Errands,1,FALSE,5,Poor,Positive
normal,57,Female,Professional,2.22,sunny,Thursday,night,34.1,73,FALSE,TRUE,Exercise,5,FALSE,5,Poor,Neutral
normal,28,Other,Student,3.03,sunny,Wednesday,evening,25.7,78,TRUE,FALSE,Exercise,1,TRUE,1,Poor,Neutral
bmx,40,Other,Unemployed,4.02,rainy,Friday,morning,21.7,33,TRUE,FALSE,Leisure,5,TRUE,1,Poor,Negative
hill,36,Female,Retired,1.92,rainy,Saturday,morning,33.4,53,FALSE,TRUE,Commute,4,TRUE,8,Good,Negative
hill,34,Male,Professional,4.17,cloudy,Wednesday,night,23.2,83,FALSE,TRUE,Leisure,1,TRUE,8,Poor,Positive
hill,44,Male,Retired,0.72,rainy,Friday,evening,13.2,62,FALSE,TRUE,Errands,5,TRUE,4,Poor,Positive
normal,62,Female,Retired,3.91,cloudy,Saturday,night,11.7,88,FALSE,TRUE,Leisure,2,TRUE,9,Fair,Positive
hill,57,Female,Retired,2.67,sunny,Wednesday,afternoon,16.8,60,TRUE,TRUE,Commute,4,FALSE,7,Poor,Positive
normal,31,Female,Unemployed,0.79,rainy,Monday,afternoon,30,34,FALSE,FALSE,Commute,3,FALSE,3,Good,Negative
hill,40,Female,Retired,4.79,cloudy,Tuesday,night,19.8,59,TRUE,TRUE,Errands,5,TRUE,3,Fair,Positive
bmx,48,Male,Professional,4.85,rainy,Monday,afternoon,10.4,33,TRUE,FALSE,Leisure,1,TRUE,3,Fair,Neutral
hill,18,Male,Student,4.18,sunny,Saturday,morning,27.4,71,FALSE,FALSE,Commute,3,FALSE,8,Fair,Positive
normal,46,Male,Retired,0.39,cloudy,Saturday,night,29.6,39,TRUE,TRUE,Leisure,5,TRUE,1,Poor,Negative
normal,31,Other,Unemployed,3.51,sunny,Wednesday,afternoon,27.5,90,FALSE,FALSE,Commute,1,TRUE,3,Good,Negative
